,
Device,Instance,Datapoint,Start,End,Min,Max,Average,Change(%),Change(Delta)
511tactical (511tactical.logicmonitor.com),_Customer Success-511tactical,planCommitPercent,104.00,108.00,104.00,108.00,107.89,3.85,4.00
accuronmedtech (accuronmedtech.logicmonitor.com),_Customer Success-accuronmedtech,planCommitPercent,72.00,72.00,72.00,72.00,72.00,0.00,0.00
actualid (actualid.logicmonitor.com),_Customer Success-actualid,planCommitPercent,124.00,104.00,100.00,124.00,122.07,-16.13,-20.00
advancedigital (advancedigital.logicmonitor.com),_Customer Success-advancedigital,planCommitPercent,72.00,72.00,72.00,72.00,72.00,0.00,0.00
afsis (afsis.logicmonitor.com),_Customer Success-afsis,planCommitPercent,0.00,0.00,0.00,0.00,0.00,No Data,0.00
agbiome (agbiome.logicmonitor.com),_Customer Success-agbiome,planCommitPercent,44.00,44.00,44.00,44.00,44.00,0.00,0.00
aisquared (aisquared.logicmonitor.com),_Customer Success-aisquared,planCommitPercent,28.00,28.00,28.00,28.00,28.00,0.00,0.00
allmedmd (allmedmd.logicmonitor.com),_Customer Success-allmedmd,planCommitPercent,92.00,92.00,92.00,92.00,92.00,0.00,0.00
alterenterprise (alterenterprise.logicmonitor.com),_Customer Success-alterenterprise,planCommitPercent,80.00,80.00,80.00,80.00,80.00,0.00,0.00
anchorops (anchorops.logicmonitor.com),_Customer Success-anchorops,planCommitPercent,52.00,56.00,52.00,56.00,55.78,7.69,4.00
angienergy (angienergy.logicmonitor.com),_Customer Success-angienergy,planCommitPercent,104.00,104.00,104.00,104.00,104.00,0.00,0.00
anslowbryant (anslowbryant.logicmonitor.com),_Customer Success-anslowbryant,planCommitPercent,96.00,96.00,92.00,96.00,95.03,0.00,0.00
ardelyx (ardelyx.logicmonitor.com),_Customer Success-ardelyx,planCommitPercent,52.00,52.00,52.00,52.00,52.00,0.00,0.00
athenacosmetics (athenacosmetics.logicmonitor.com),_Customer Success-athenacosmetics,planCommitPercent,24.00,28.00,24.00,28.00,27.76,16.67,4.00
atkins (atkins.logicmonitor.com),_Customer Success-atkins,planCommitPercent,52.00,52.00,52.00,52.00,52.00,0.00,0.00
augisoft (augisoft.logicmonitor.com),_Customer Success-augisoft,planCommitPercent,12.00,12.00,12.00,12.00,12.00,0.00,0.00
autoid (autoid.logicmonitor.com),_Customer Success-autoid,planCommitPercent,40.00,40.00,40.00,40.00,40.00,0.00,0.00
awarebase (awarebase.logicmonitor.com),_Customer Success-awarebase,planCommitPercent,64.00,64.00,64.00,64.00,64.00,0.00,0.00
axelgaard (axelgaard.logicmonitor.com),_Customer Success-axelgaard,planCommitPercent,56.00,56.00,56.00,56.00,56.00,0.00,0.00
axiom (axiom.logicmonitor.com),_Customer Success-axiom,planCommitPercent,68.00,68.00,68.00,68.00,68.00,0.00,0.00
bdwonnacott (bdwonnacott.logicmonitor.com),_Customer Success-bdwonnacott,planCommitPercent,40.00,40.00,40.00,40.00,40.00,0.00,0.00
bfusa (bfusa.logicmonitor.com),_Customer Success-bfusa,planCommitPercent,68.00,68.00,68.00,68.00,68.00,0.00,0.00
birddog (birddog.logicmonitor.com),_Customer Success-birddog,planCommitPercent,16.00,16.00,16.00,16.00,16.00,0.00,0.00
blackwaterbusiness (blackwaterbusiness.logicmonitor.com),_Customer Success-blackwaterbusiness,planCommitPercent,92.00,80.00,80.00,92.00,84.78,-13.04,-12.00
brgslaw (brgslaw.logicmonitor.com),_Customer Success-brgslaw,planCommitPercent,28.00,28.00,28.00,28.00,28.00,0.00,0.00
